,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),shipment_cost
1294,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,2008-09-05,2008-09-05,2008-09-05,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,80000,576000.0,7.2,0.12,"Strides, Bangalore, India.",Yes,11515.0,5869.655000000001,921.6,582791.255
1295,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2008-08-20,2008-08-20,2008-08-20,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,5000,60050.0,12.01,0.4,Mylan (formerly Matrix) Nashik,Yes,4247.0,8231.95,96.08,68378.03
1296,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2009-05-08,2009-05-08,2009-05-08,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,69491,792197.4,11.4,0.19,"Aurobindo Unit III, India",Yes,7798.0,15128.37,1552.71,808878.48
1297,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2009-08-19,2009-08-19,2009-08-19,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,60,10480,39824.0,3.8,0.06,"Cipla, Goa, India",Yes,786.0,11032.42,78.06,50934.479999999996
1298,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-07-27,2007-07-27,2007-07-27,HRDT,HIV test,SCMS from RDC,"HIV 2, New LAV Blot 2 HIV Kit, 18 Tests","HIV 2, New LAV Blot 2 HIV Kit",LAV,300mg,Test kit,18,12,3698.04,308.17,17.12,Bio-Rad Laboratories,Yes,46.0,1607.0,5.92,5310.96
1299,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-11-29,2007-11-29,2007-11-29,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,14000,24500.0,1.75,0.03,"Strides, Bangalore, India.",Yes,989.0,3452.0,39.2,27991.2
1300,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,2007-12-05,2007-12-05,2007-12-05,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,300mg,Test kit,100,405,29155.95,71.99,0.72,Inverness Japan,Yes,130.0,3187.18,46.65,32389.780000000002
1301,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-09-17,2007-09-17,2007-09-17,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,3200,131520.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,749.0,2717.0,210.43,134447.43
1302,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-09-12,2007-09-12,2007-09-12,ARV,Adult,SCMS from RDC,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,Invirase,200mg,Capsule,270,526,41364.64,78.64,0.29,Roche Basel,No,1047.0,5869.655000000001,66.18,47300.475
1303,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,2008-01-10,2008-01-10,2008-01-10,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,591,10047.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,Yes,37.0,504.0,16.08,10567.08
1304,Kenya,PMO - US,From RDC,N/A - From RDC,Truck,2008-03-26,2008-03-26,2008-03-26,HRDT,HIV test - Ancillary,SCMS from RDC,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,300mg,Test kit - Ancillary,100,240,1200.0,5.0,0.05,Inverness Japan,Yes,751.0,190.06,1.92,1391.98
1305,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2008-10-20,2008-10-20,2008-10-20,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,20186,64595.2,3.2,0.05,"Aurobindo Unit III, India",Yes,4218.0,43041.34,103.35,107739.89
1306,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2009-02-04,2009-02-04,2009-02-04,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,20000,236000.0,11.8,0.2,"Aurobindo Unit III, India",Yes,2283.0,13586.1,462.56,250048.66
1307,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2009-03-20,2009-03-20,2009-03-20,ARV,Adult,SCMS from RDC,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",Ritonavir,Norvir,100mg,Capsule,336,4660,31361.8,6.73,0.02,ABBVIE (Abbott) France,Yes,1047.0,5869.655000000001,61.47,37292.925
1308,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,2009-06-28,2009-06-28,2009-06-28,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,2106,5138.64,2.44,0.04,"Aurobindo Unit III, India",Yes,3545.0,3599.76,10.07,8748.470000000001
1309,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2009-10-29,2009-10-29,2009-10-29,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,34036,196728.08,5.78,0.19,"Aurobindo Unit III, India",Yes,2901.0,4897.42,424.15,202049.65
1310,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2007-01-09,2007-01-09,2007-01-09,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,6156,68577.84,11.14,0.19,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,47.04,74494.53499999999
1311,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-09-10,2007-09-10,2007-09-10,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,25037,407101.62,16.26,0.54,"Aurobindo Unit III, India",Yes,2213.0,18101.32,651.36,425854.3
1312,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2007-11-09,2007-11-09,2007-11-09,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,52864,188724.48,3.57,0.06,"Aurobindo Unit III, India",Yes,5989.0,19590.04,301.96,208616.48
1313,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2007-11-22,2007-11-22,2007-11-22,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30,24140,48280.0,2.0,0.07,"Cipla, Goa, India",Yes,1434.0,3682.34,77.25,52039.59
1314,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-11-22,2007-11-22,2007-11-22,ARV,Pediatric,SCMS from RDC,"Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",Efavirenz,Stocrin/Sustiva,30mg/ml,Oral solution,180,4077,69186.69,16.97,0.09,"MSD, Haarlem, NL",Yes,1554.0,4963.0,110.7,74260.39
1315,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,2007-12-03,2007-12-03,2007-12-03,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,965,5983.0,6.2,0.03,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,9.57,11862.225
1316,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-08-30,2007-08-30,2007-08-30,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,25799,87716.6,3.4,0.06,"Strides, Bangalore, India.",No,1047.0,5869.655000000001,140.35,93726.60500000001
1317,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-10-02,2007-10-02,2007-10-02,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,350,25200.0,72.0,0.72,Inverness Japan,No,1047.0,5869.655000000001,40.32,31109.975
1318,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2007-11-29,2007-11-29,2007-11-29,ARV,Pediatric,SCMS from RDC,"Stavudine 1mg/ml, powder for oral solution, 200 ml",Stavudine,Generic,1mg/ml,Oral solution,200,500,700.0,1.4,0.01,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,1.12,6570.775000000001
1319,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,2008-01-31,2008-01-31,2008-01-31,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,7511,25537.4,3.4,0.06,"Ranbaxy, Paonta Shahib, India",Yes,732.0,2724.27,40.86,28302.530000000002
1320,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,2008-04-21,2008-04-21,2008-04-21,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,37240,275576.0,7.4,0.12,"Cipla, Goa, India",No,1047.0,5869.655000000001,440.92,281886.575
1321,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2008-03-19,2008-03-19,2008-03-19,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,300mg,Test kit,100,30,2160.0,72.0,0.72,Inverness Japan,Yes,7.0,774.84,3.46,2938.3
1322,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2009-01-20,2009-01-20,2009-01-20,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,720,6732.0,9.35,0.16,"Aurobindo Unit III, India",Yes,66.0,772.04,13.19,7517.23
1323,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2009-03-03,2009-03-03,2009-03-03,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,5216,10014.72,1.92,0.01,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,19.63,15904.005
1324,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-02-22,2007-03-08,2007-03-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,3024,49140.0,16.25,0.54,"Aurobindo Unit III, India",Yes,275.0,1448.0,47.04,50635.04
1325,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-03-15,2007-03-15,2007-03-15,ARV,Adult,SCMS from RDC,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,Invirase,200mg,Capsule,270,482,37596.0,78.0,0.29,Roche Basel,No,1047.0,5869.655000000001,47.04,43512.695
1326,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2007-06-01,2007-06-01,2007-06-01,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,25003,418800.25,16.75,0.56,"Aurobindo Unit III, India",Yes,2177.0,2912.01,47.04,421759.3
1327,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2007-05-03,2007-05-03,2007-05-03,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,50549,518127.25,10.25,0.17,"Aurobindo Unit III, India",Yes,4680.0,19288.91,47.04,537463.2000000001
1328,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,2007-06-26,2007-06-26,2007-06-26,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,700,1064.0,1.52,0.03,"Strides, Bangalore, India.",No,1047.0,5869.655000000001,1.7,6935.3550000000005
1329,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2007-09-27,2007-09-27,2007-09-27,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,85000,289000.0,3.4,0.06,"Aurobindo Unit III, India",Yes,14311.0,63886.29,462.4,353348.69
1330,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2007-11-26,2007-11-26,2007-11-26,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,84,1043.28,12.42,0.41,"Aurobindo Unit III, India",Yes,1047.0,5869.655000000001,1.67,6914.6050000000005
1331,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,2007-10-18,2007-10-18,2007-10-18,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,300mg,Test kit,25,8000,160000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,2366.0,13952.38,256.0,174208.38
1332,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,2007-09-04,2007-09-04,2007-09-04,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,13850,29777.5,2.15,0.01,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,47.64,35694.795
1333,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,2007-09-04,2007-09-04,2007-09-04,ARV,Pediatric,SCMS from RDC,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,15913,31348.61,1.97,0.01,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,50.16,37268.425
1334,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2007-11-02,2007-11-02,2007-11-02,ARV,Pediatric,SCMS from RDC,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",Abacavir,Generic,20mg/ml,Oral solution,240,1341,22126.5,16.5,0.07,"Aurobindo Unit III, India",Yes,395.0,3478.0,35.4,25639.9
1335,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-10-15,2007-10-15,2007-10-15,ARV,Adult,SCMS from RDC,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,Invirase,200mg,Capsule,270,1577,124015.28,78.64,0.29,Roche Basel,Yes,3023.0,13721.28,198.42,137934.98
1336,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,2007-09-20,2007-09-20,2007-09-20,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,600,2142.0,3.57,0.06,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,3.43,8015.085000000001
1337,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2008-01-24,2008-01-24,2008-01-24,ARV,Pediatric,SCMS from RDC,"Abacavir 20mg/ml, [DON] oral solution, Bottle, 240 ml",Abacavir,Generic,20mg/ml,Oral solution,240,3119,0.0,0.0,0.0,"Aurobindo Unit III, India",Yes,1088.0,2951.94,0.0,2951.94
1338,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,2008-02-20,2008-02-20,2008-02-20,ARV,Adult,SCMS from RDC,"Stavudine 20mg, capsules, 60 Caps",Stavudine,Generic,20mg,Capsule,60,219,383.25,1.75,0.03,"Aurobindo Unit III, India",Yes,16.0,472.5,0.61,856.36
1339,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2008-03-08,2008-03-08,2008-03-08,ARV,Pediatric,SCMS from RDC,"Didanosine 200mg, chewable/dispersible tablets, 60 Tabs",Didanosine,Generic,200mg,Chewable/dispersible tablet,60,100,1550.0,15.5,0.26,"Aurobindo Unit III, India",Yes,195.0,2587.9,2.48,4140.379999999999
1340,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2008-04-08,2008-04-05,2008-04-05,ARV,Adult,SCMS from RDC,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",Abacavir/Lamivudine/Zidovudine,Trizivir,300/150/300mg,Tablet - FDC,60,213,14910.0,70.0,1.17,GSK Ware (UK),No,1047.0,5869.655000000001,23.86,20803.515
1341,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2008-02-28,2008-02-28,2008-02-28,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,44135,548156.7,12.42,0.41,Mylan (formerly Matrix) Nashik,Yes,3483.0,12643.63,877.05,561677.38
1342,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2008-08-20,2008-08-20,2008-08-20,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,40000,288000.0,7.2,0.12,"Strides, Bangalore, India.",Yes,7393.0,6051.02,460.8,294511.82
1343,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2008-04-03,2008-04-03,2008-04-03,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,300mg,Test kit,100,25,1800.0,72.0,0.72,Inverness Japan,No,1047.0,5869.655000000001,2.88,7672.535000000001
1344,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,2008-10-21,2008-10-21,2008-10-21,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,90323,668390.2,7.4,0.12,"Cipla, Goa, India",Yes,9635.0,52979.7,1069.42,722439.32
1345,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2009-04-30,2009-04-30,2009-04-30,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,23524,206070.24,8.76,0.15,"Aurobindo Unit III, India",Yes,3155.0,9021.82,403.9,215495.96
1346,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2008-10-27,2008-10-27,2008-10-27,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,8192,90112.0,11.0,0.37,Mylan (formerly Matrix) Nashik,Yes,9516.0,101348.75,144.18,191604.93
1347,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2008-12-10,2008-12-10,2008-12-10,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,8100,23571.0,2.91,0.05,"Aurobindo Unit III, India",Yes,404.0,5866.29,46.2,29483.49
1348,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2009-06-01,2009-06-01,2009-06-01,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,100,4110.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,23.0,1152.63,8.06,5270.6900000000005
1349,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2009-10-20,2009-10-20,2009-10-20,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,441,5181.75,11.75,0.39,Mylan (formerly Matrix) Nashik,Yes,36.0,9341.49,10.16,14533.4
1350,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2009-10-07,2009-10-07,2009-10-07,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,576,6768.0,11.75,0.39,Mylan (formerly Matrix) Nashik,Yes,47.0,1234.91,13.27,8016.18
1351,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2010-02-23,2010-02-23,2010-02-23,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,1788,5721.6,3.2,0.05,"Cipla, Goa, India",Yes,205.0,1380.45,12.34,7114.39
1352,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-05-04,2007-05-04,2007-05-04,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,10000,162500.0,16.25,0.54,"Aurobindo Unit III, India",Yes,901.0,3006.0,47.04,165553.04
1353,Botswana,PMO - US,From RDC,N/A - From RDC,Air,2007-04-27,2007-04-27,2007-04-27,HRDT,HIV test,SCMS from RDC,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,300mg,Test kit,100,30,12000.0,400.0,4.0,"Pacific Biotech, Thailand",Yes,72.0,947.05,47.04,12994.09
1354,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-06-28,2007-06-28,2007-06-28,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,2000,71600.0,35.8,0.6,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,114.56,77584.215
1355,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2007-08-07,2007-08-07,2007-08-07,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,300mg,Test kit,100,75,10425.0,139.0,1.39,"Trinity Biotech, Plc",Yes,50.0,791.84,16.68,11233.52
1356,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2007-12-10,2007-12-10,2007-12-10,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,3930,80565.0,20.5,0.34,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,128.9,86563.555
1357,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,2007-12-20,2007-12-20,2007-12-20,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,9692,92074.0,9.5,0.16,"Aurobindo Unit III, India",Yes,1215.0,6346.22,147.32,98567.54000000001
1358,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-08-30,2007-08-30,2007-08-30,ARV,Pediatric,SCMS from RDC,"Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",Efavirenz,Stocrin/Sustiva,30mg/ml,Oral solution,180,508,8620.76,16.97,0.09,"MSD Patheon, Canada",No,1047.0,5869.655000000001,13.79,14504.205000000002
1359,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-09-19,2007-09-19,2007-09-19,HRDT,HIV test,SCMS from RDC,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,300mg,Test kit,40,230,17480.0,76.0,1.9,Bio-Rad Laboratories,Yes,917.0,6056.76,27.97,23564.730000000003
1360,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2008-07-29,2008-07-29,2008-07-29,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30,12000,24000.0,2.0,0.07,"Cipla, Goa, India",Yes,700.0,954.13,38.4,24992.530000000002
1361,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,2008-04-30,2008-04-30,2008-04-30,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2580,106038.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,559.0,3562.4,169.66,109770.06
1362,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2008-08-20,2008-08-20,2008-08-20,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,50000,600500.0,12.01,0.4,Mylan (formerly Matrix) Nashik,Yes,3880.0,3817.12,960.8,605277.92
1363,Tanzania,PMO - US,From RDC,N/A - From RDC,Truck,2008-09-23,2008-09-23,2008-09-23,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,123317,912545.8,7.4,0.12,"Cipla, Goa, India",Yes,13253.0,64506.78,1460.07,978512.65
1364,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2009-04-27,2009-04-27,2009-04-27,ARV,Pediatric,SCMS from RDC,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,40,1644.0,41.1,0.14,ABBVIE (Abbott) Logis. UK,Yes,52.0,1287.77,3.22,2934.99
1365,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2009-03-23,2009-03-23,2009-03-23,ARV,Pediatric,SCMS from RDC,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,365,15001.5,41.1,0.14,ABBVIE (Abbott) Logis. UK,Yes,1047.0,5869.655000000001,29.4,20900.555
1366,Ghana,PMO - US,From RDC,N/A - From RDC,Truck,2009-08-12,2009-08-12,2009-08-12,ARV,Adult,SCMS from RDC,"Stavudine 15mg, capsules, 60 Caps",Stavudine,Generic,15mg,Capsule,60,150,1.5,0.01,0.0,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,0.0,5871.155000000001
